stash_address,Commission (in %),Self Stake (in DOT),Total Stake (in DOT),Era Points,Cluster Size,Voters
11BgR7fH8Sq6CcGcXxZrhyrBM2PUpDmhnGZpxPGvVGXEiPT,10.0,1.0,2162675.0,880,1,451
11MJU5Q1rQh5BKuuECePhSAutv3WEVx6f2x9eZk9HXkCC1e,5.0,1.0,2123849.3,1080,6,475
11uMPbeaEDJhUxzU4ZfWW9VQEsryP9XqFcNRfPdYda6aFWJ,3.0,22.0,2167836.3,860,13,1328
14Vh8S1DzzycngbAB9vqEgPFR9JpSvmF1ezihTUES1EaHAV,1.0,10883.1,2168765.7,880,2,850
1A2ATy1FEu5yQ9ZzghPLsRckPQ7XLmq5MJQYcTvGnxGvCho,8.0,1.0,1942391.7,940,1,409
1ChRPtPxrTfFTSWyKHtF6ASvaSjL5jqz6f68ih15zcjyM1V,3.0,5349.8,2160212.4,960,1,385
1LMtHkfrADk7awSEFC45nyDKWxPu9cK796vtrf7Fu3NZQmB,2.0,3.0,2167512.5,880,8,900
1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,1.0,570807.4,3405665.4,820,3,2569
1RG5T6zGY4XovW75mTgpH6Bx7Y6uwwMmPToMCJSdMwdm4EW,5.0,1920.9,2167701.8,920,1,703
1RJP5i7zuyBLtgGTMCD9oF8zQMTQvfc4zpKNsVxfvTKdHmr,2.0,3.0,2166958.6,780,8,998
1StVBqjDJKogQTsLioHC44iFch1cEAv2jcpsnvsy5buBtUE,2.0,5153.7,2166347.1,920,1,402
1WG3jyNqniQMRZGQUc7QD2kVLT8hkRPGMSqAb5XYQM1UDxN,10.0,604440.2,4299445.4,860,1,458
1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,1.5,3801.3,2167745.0,860,1,1166
1hYyu9C3dupTiKGMNcrCRK6HVPS7LYznuofDXsia3N1W6AK,5.0,1.0,2167075.8,1220,6,279
1jqkeJhuoRudNTVL5dV1qZf8RQtyzcf6ZT4yyvUQbKFktr8,1.0,1.0,2168518.9,940,5,2215
